id_question,correct_answer
122,1
4,3
147,3
90,2
157,4
123,2
146,1
191,2
157,4
147,3
205,2
120,1
184,2
73,2
146,1
186,2
186,2
19,2
166,2
156,3
146,1
16,2
205,2
73,2
156,3
191,2
190,2
4,3
90,2
120,1
30,2
4,3
122,1
205,2
184,2
19,2
157,4
184,2
19,2
30,2
73,2
47,2
47,2
90,2
191,2
166,2
186,2
166,2
190,2
16,2
47,2
120,1
156,3
123,2
30,2
190,2
16,2
122,1
123,2
147,3
182,2
139,2
181,2
42,2
117,2
189,2
79,1
121,2
14,2
3,2
189,2
72,2
187,2
14,2
60,2
60,2
121,2
59,3
79,1
139,2
189,2
183,2
182,2
33,1
183,2
60,2
142,2
187,2
158,2
121,2
158,2
72,2
141,2
117,2
78,2
181,2
3,2
33,1
78,2
72,2
33,1
187,2
139,2
79,1
3,2
42,2
141,2
59,3
142,2
142,2
42,2
117,2
14,2
182,2
183,2
158,2
141,2
59,3
181,2
78,2
